legacy_assertion_id,source_record_id,government_id,person_raw,office_raw,legacy_start,legacy_end_inclusive,legacy_appointment_date,prior_status,prior_party,prior_assignment,prior_evidence_date_raw,prior_evidence_note,contemporaneous_tenure_certified,officeholding_coverage,affiliation_temporal_coverage,composition_completeness,missing_possibilities,required_work
LEG-bcc69be0973d,dilma_rousseff:1:38,dilma_2,Nilma Lino Gomes,Secretaria de Direitos Humanos,2015-10-02,2016-05-11,2015-10-02,UNAFFILIATED,,,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-8702e7355c32,dilma_rousseff:1:39,dilma_2,Cid Gomes,Ministério da Educação,2015-01-01,2015-03-18,2015-01-01,PARTY,PROS,PDT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-165ae748c303,dilma_rousseff:1:4,dilma_2,Marcelo Neri,Secretaria de Assuntos Estratégicos,2015-01-01,2015-02-05,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-71604753d832,dilma_rousseff:1:40,dilma_2,Luiz Cláudio Costa,Ministério da Educação,2015-03-18,2015-04-06,2015-03-18,UNRESOLVED,,,2012-02-07 / 2015-05-26,"Explicit PT membership in 2012 and party-event participation in May2015 suggest PT, but no direct evidence establishes uninterrupted formal membership at March2015 start. Raw blank is unsafe.",False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-5819c21b71da,dilma_rousseff:1:41,dilma_2,Renato Janine Ribeiro,Ministério da Educação,2015-04-06,2015-09-30,2015-04-06,UNAFFILIATED,,,2015-06-15,In contemporaneous interview minister says he has never belonged to any party; applies backward to April appointment.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-85841e849f8e,dilma_rousseff:1:42,dilma_2,Aloizio Mercadante,Ministério da Educação,2015-10-02,2016-05-11,2015-10-02,PARTY,PT,PT,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-16d934587913,dilma_rousseff:1:43,dilma_2,George Hilton,Ministério do Esporte,2015-01-01,2016-03-23,2015-01-01,PARTY,PRB,Republicanos,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-548e8979a482,dilma_rousseff:1:44,dilma_2,Ricardo Leyser,Ministério do Esporte,2016-03-31,2016-05-11,2016-03-31,PARTY,PCdoB,PCdoB,2016-03-31,Appointment-day Valor report explicitly identifies PCdoB affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-2df1ae3ab2c1,dilma_rousseff:1:45,dilma_2,Joaquim Levy,Ministério da Fazenda,2015-01-01,2015-12-18,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-e5f7ea3a676b,dilma_rousseff:1:46,dilma_2,Nelson Barbosa,Ministério da Fazenda,2015-12-18,2016-05-11,2015-12-18,UNAFFILIATED,,,2015-12-18,Appointment profile states never affiliated with PT; consistent explicit independent classification in January and October 2015 directories.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-3274ba9a4075,dilma_rousseff:1:47,dilma_2,José Elito Carvalho Siqueira,Gabinete de Segurança Institucional,2015-01-01,2015-10-02,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-761e73bcf196,dilma_rousseff:1:48,dilma_2,Nilma Lino Gomes,Secretaria de Políticas de Promoção da Igualdade Racial,2015-01-01,2015-10-02,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-3df9b9d5037a,dilma_rousseff:1:49,dilma_2,Gilberto Occhi,Ministério da Integração Nacional,2015-01-01,2016-04-13,2015-01-01,PARTY,PP,PP,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-7076a873efe6,dilma_rousseff:1:5,dilma_2,Roberto Mangabeira Unger,Secretaria de Assuntos Estratégicos,2015-02-05,2015-09-14,2015-02-05,PARTY,PMDB,,2015-02-03,Appointment announcement explicitly identifies PMDB affiliation; November 2015 PDT entry is later.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-69449ca60500,dilma_rousseff:1:50,dilma_2,Josélio de Andrade Moura,Ministério da Integração Nacional,2016-04-13,2016-05-11,2016-04-13,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-8f31809fa406,dilma_rousseff:1:51,dilma_2,José Eduardo Cardozo,Ministério da Justiça,2015-01-01,2016-03-03,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-6b43a38603cc,dilma_rousseff:1:53,dilma_2,Eugênio Aragão,Ministério da Justiça,2016-03-14,2016-05-11,2016-03-14,UNRESOLVED,,,2017-11-30,"Later report says not a PT member, which does not establish absence of all party affiliation at March2016 appointment. Career as prosecutor is not itself proof.",False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-85c2f5b66096,dilma_rousseff:1:54,dilma_2,Izabella Teixeira,Ministério do Meio Ambiente,2015-01-01,2016-05-11,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-ea956fb419a3,dilma_rousseff:1:55,dilma_2,Guilherme Afif Domingos,Secretaria da Micro e Pequena Empresa,2015-01-01,2015-10-02,2015-01-01,PARTY,PSD,PSD,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-328a5753236c,dilma_rousseff:1:56,dilma_2,Eduardo Braga,Ministério de Minas e Energia,2015-01-01,2016-04-20,2015-01-01,PARTY,PMDB,MDB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-eb980c56cacd,dilma_rousseff:1:57,dilma_2,Marco Antônio Martins Almeida,Ministério de Minas e Energia,2016-04-20,2016-05-11,2016-04-20,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-1591c82663db,dilma_rousseff:1:58,dilma_2,Helder Barbalho,Ministério da Pesca e Aquicultura,2015-01-01,2015-10-02,2015-01-01,PARTY,PMDB,MDB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-50db413117de,dilma_rousseff:1:59,dilma_2,Nelson Barbosa,"Ministério do Planejamento, Orçamento e Gestão",2015-01-01,2015-12-18,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-f2d52d14d0bb,dilma_rousseff:1:6,dilma_2,Vitor Pinto Chaves,Secretaria de Assuntos Estratégicos,2015-09-14,2015-10-02,2015-09-14,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-3a0fd99272c8,dilma_rousseff:1:60,dilma_2,Valdir Moysés Simão,"Ministério do Planejamento, Orçamento e Gestão",2015-12-21,2016-05-11,2015-12-21,UNAFFILIATED,,,2016-12,"Gomes, Revista da CGU 8(13), retrospective affiliation index for 2003-2016 p472 explicitly scores no party membership; complements initial 2015 directory.",False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-92ed8875155b,dilma_rousseff:1:61,dilma_2,Eleonora Menicucci,Secretaria de Políticas para as Mulheres,2015-01-01,2015-10-02,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-7313721f7d0a,dilma_rousseff:1:62,dilma_2,Edson Coelho Araújo,Secretaria Nacional dos Portos,2015-01-01,2015-10-02,2015-01-01,PARTY,PMDB,MDB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-ed798dddc06b,dilma_rousseff:1:63,dilma_2,Helder Barbalho,Secretaria Nacional dos Portos,2015-10-02,2016-04-20,2015-10-02,PARTY,PMDB,MDB,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-a4defbba80f9,dilma_rousseff:1:64,dilma_2,Maurício Muniz Barreto de Carvalho,Secretaria Nacional dos Portos,2016-04-20,2016-05-11,2016-04-20,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-b3f068a0416e,dilma_rousseff:1:65,dilma_2,Carlos Eduardo Gabas,Ministério da Previdência Social,2015-01-01,2015-10-02,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-2f545a0a2af9,dilma_rousseff:1:66,dilma_2,Mauro Vieira,Ministério das Relações Exteriores,2015-01-01,2016-05-11,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-7fd64bd02e06,dilma_rousseff:1:67,dilma_2,Pepe Vargas,Secretaria de Relações Institucionais,2015-01-01,2015-04-07,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
