assertion_id,entity,party,asserted_fact,event_date,transition_earliest,transition_latest,source_url,document_id,publisher,publication_date,publication_date_precision,event_date_precision,retrieval_date,locator,supporting_paraphrase,support_type,source_access,conflict,proposed_resolution,coverage_start,observation_cutoff,full_cabinet_composition_complete
AFF-011,Augusto Heleno,Patriota|PRD,Undated retrospective biography labels,,,,https://www.opovo.com.br/noticias/politica/2025/08/29/augusto-heleno-saiba-quem-e-general-da-reserva-e-ex-ministro.html,,O Povo,2025-08-29,day,unknown,2026-09-10,Article body,"Later profile assigns PRP, Patriota and PRD without a dated re-affiliation act.",later_biographical_claim,web_rendered_text_or_extract_reviewed;original_not_archived,Conflicts with incoming 2018 no-party evidence and prior withdrawal lead.,Do not propagate an incorporation through a person who had left; seek an actual rejoining event. Status uncertainty remains where claim cannot be resolved.,2015-01-01,2026-03-19,false
AFF-012,Marcos Pontes; João Roma,PL,Joined PL,2022-03-27,,,https://www.poder360.com.br/governo/ministros-joao-roma-e-marcos-pontes-se-filiam-ao-pl/,,Poder360,2022-03-27,day,day,2026-09-10,Article body,Reports both ministers signed PL affiliation that Sunday; Roma left Republicanos.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Pontes PSL origin passes through União merger before personal PL switch; Roma Republicanos contribution ends on switch date.,2015-01-01,2026-03-19,false
AFF-013,Damares Alves,PP,Historical affiliation reported,1995,,,https://ultimosegundo.ig.com.br/politica/2020-08-26/pp-convida-damares-alves-para-se-candidatar-a-senadora-pelo-partido.html,,iG Último Segundo,2020-08-26,day,year,2026-09-10,Article body,Prior audit source reports PP membership since 1995 and a possible candidacy.,retrospective_status_with_historical_start,prior_audit_source_reused,,"Supports PP through observation, not continued membership to 2022.",2015-01-01,2026-03-19,false
AFF-014,Damares Alves,PP|UNAFFILIATED,Departure year and later no-party observation,2021,2020-08-27,2022-01-20,https://www2.senado.leg.br/bdsf/bitstream/handle/id/685094/noticia.html?isAllowed=y&sequence=1,"O Globo n. 32308, Política p. 5; BDSF handle 685094","O Globo, preserved by Senado BDSF",2022-01-20,day,year,2026-09-10,Article body,Eduardo Gonçalves reports she is then unaffiliated and had left PP in 2021.,direct_report_of_event,search_index_full_article_text; direct_open_failed_CacheMiss,A later NGO chart says PP ended in 2020; September 2021 Arko and 2022 annual rosters still list PP.,"Do not choose an exact date. Conservative uncertainty spans after August 26, 2020 to January 20, 2022; 2021 departure is supported by this contemporaneous archive but conflict remains.",2015-01-01,2026-03-19,false
AFF-015,Damares Alves; Tarcísio de Freitas,Republicanos,Joined Republicanos,2022-03-28,,,https://veja.abril.com.br/coluna/radar/damares-se-filia-ao-republicanos-com-apelo-a-conservadores/,,Veja,2022-03-28,day,day,2026-09-10,Article body,Evening report says Damares and Tarcísio joined Republicanos at the event.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,"Completed affiliation event, distinct from announcements and ministry departure dates.",2015-01-01,2026-03-19,false
AFF-016,Tarcísio de Freitas,UNAFFILIATED,Retrospective first affiliation,2022-03-28,,,"https://www.terra.com.br/noticias/eleicoes/quem-e-tarcisio-freitas,8710301adfdd6d9c50df849f14a2e946i5unsj1q.html",,Terra,2022-10-24,day,day,2026-09-10,Article body,Prior audit profile reports no previous party affiliation before joining Republicanos in 2022.,retrospective_history,prior_audit_source_reused,,Historical negative assertion supports pre-entry status; it must not erase March 2022 switch.,2015-01-01,2026-03-19,false
AFF-017,Anderson Torres,UNAFFILIATED,Denied party membership,2021-05,,,https://www.correiobraziliense.com.br/politica/2021/05/amp/4921557-a-cpi-vai-investigar-o-que-exatamente--questiona-ministro-da-justica.html,,Correio Braziliense,2021-05,month,month,2026-09-10,Article body,In interview Torres denies affiliation and refers to electoral-justice proof.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,April 2021 PSL reports and imported PSL/União labels conflict.,Self-report directly addresses erroneous party attribution; retrieve certificate for independent confirmation.,2015-01-01,2026-03-19,false
AFF-018,Anderson Torres,UNAFFILIATED,Retrospective never affiliated claim,2023-01-23,,,https://www.cnnbrasil.com.br/politica/em-audiencia-de-custodia-torres-diz-que-jamais-questionou-resultado-de-eleicoes/,,CNN Brasil,2023-01-23,day,day,2026-09-10,Article body,Report of custody statement says he had never been affiliated to a political party.,retrospective_self_report,web_rendered_text_or_extract_reviewed;original_not_archived,,"Scope includes cabinet tenure, unlike a current no-party biography; proposed no-party continuity with contradictory PSL claims retained in ledger.",2015-01-01,2026-03-19,false
AFF-019,Anderson Torres,UNAFFILIATED,Denied União affiliation,2023-08-08,,,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/11684,"CPMI 8 de Janeiro, notas taquigráficas reunião 11684",Senado Federal,2023-08-08,day,day,2026-09-10,Exchange with Eliziane Gama about União affiliation,In testimony he corrects the questioner and says he is not affiliated to União.,direct_official_transcript_of_status,web_rendered_text_or_extract_reviewed;original_not_archived,,Corroboration at that later date; does not by itself establish all earlier dates.,2015-01-01,2026-03-19,false
AFF-020,Ricardo Salles,NOVO,Party acknowledges membership,2019,,,https://novo.org.br/noticias/esclarecimentos-do-partido-novo-em-relacao-ao-ministro-ricardo-salles/,,Partido Novo,,unknown,year,2026-09-10,Numbered items 3–4,Party note identifies him among its affiliates and says the rule for newly appointed officials was not retroactive.,direct_report_of_event,search_index_text; direct_open_HTTP403,,Lack of party endorsement does not negate formal affiliation.,2015-01-01,2026-03-19,false
AFF-021,Ricardo Salles,NOVO,Interim suspension of affiliation,2019-10-31,,,https://www.correiobraziliense.com.br/app/noticia/politica/2019/10/31/interna_politica%2C802735/amp.shtml,"Novo CEP decision; statute arts. 19, 72 V, 21 §2 b referenced",Correio Braziliense,2019-10-31,day,day,2026-09-10,Article body,"Reproduces party note that Ethics Commission suspended affiliation pending final decision, citing statute articles.",direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,Suspension of affiliation may differ from suspension of party activities; legal effect not established by shorthand label.,Obtain applicable statute and decision to determine whether formal membership remains; do not silently count or omit NOVO after this date.,2015-01-01,2026-03-19,false
AFF-022,Ricardo Salles,NOVO,Expulsion decision reported,2020-05-07,,,https://exame.com/brasil/ricardo-salles-diz-que-foi-expulso-do-partido-novo/,,Exame,2020-05-07,day,day,2026-09-10,Article body,"Salles says he was notified of expulsion; party confirms an Ethics Commission decision, confidential and appealable.",direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,Appealability does not establish suspensive effect or final cancellation date.,Proposed affiliation termination requires decision-effect verification; cannot freeze NOVO until June 2021 service end.,2015-01-01,2026-03-19,false
AFF-023,Ricardo Salles,NOVO,Suspension status reiterated,2020-01-25,,,https://ultimosegundo.ig.com.br/politica/2020-01-25/novo-se-distancia-do-governo-bolsonaro-apos-aprovacao-do-fundo-eleitoral.html,,iG / interview with João Amoêdo,2020-01-25,day,day,2026-09-10,Article body,Party president describes suspension of affiliation with ethics investigation ongoing.,direct_party_leader_interview,web_rendered_text_or_extract_reviewed;original_not_archived,,"Supports intermediate suspended state, not completed expulsion in October 2019.",2015-01-01,2026-03-19,false
AFF-024,Rogério Marinho,PSDB|UNAFFILIATED,Left PSDB; announcement after event,,2020-02-12,2020-06-19,https://www.cnnbrasil.com.br/politica/ministro-de-bolsonaro-marinho-deixa-o-psdb/,,CNN Brasil,2020-06-19,day,unknown,2026-09-10,Article body,Published statement confirms he had left the party a few days earlier.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,A February 2021 local retrospective says February 2020; contemporaneous June report does not give exact event day.,Keep uncertain departure date; do not mechanically assign June 19 or appointment date. Broad bound uses prior February 11 status and June 19 announcement.,2015-01-01,2026-03-19,false
AFF-025,Rogério Marinho,PL,Joined PL,2021-11-30,,,https://noticias.r7.com/brasilia/videos/ministro-de-desenvolvimento-regional-rogerio-marinho-se-filia-ao-pl-10012024,,R7,2021-11-30,day,day,2026-09-10,Article body,Original report says Marinho joined PL that Tuesday; current page also displays a later 2024 update.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,"Use original event November 30, 2021, not page update or 2022 election year.",2015-01-01,2026-03-19,false
AFF-026,Fábio Faria,PSD|PP,Joined PP,2022-03-24,,,https://progressistas.org.br/noticias-progressistas/fabio-faria-e-neucimar-fraga-chegam-para-fortalecer-o-progressistas/,,Progressistas,2022-03-24,day,day,2026-09-10,Article body,Party announcement states Faria officially joined that Thursday.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,End PSD and begin PP on supported effective affiliation day; his initial PSD evidence cannot cover remainder of tenure.,2015-01-01,2026-03-19,false
AFF-027,Onyx Lorenzoni,UNIÃO|PL,Joined PL,2022-03-10,,,https://www.correiodopovo.com.br/colunistas/taline-oppitz/onyx-lorenzoni-filia-se-ao-pl-1.786509,,Correio do Povo,2022-03-10,day,day,2026-09-10,Article body,Report says Onyx signed PL membership that day.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,March 22 celebration reports are not necessarily initial registration.,Proposed March 10 transition; retain event-kind distinction if formal registration differs.,2015-01-01,2026-03-19,false
AFF-028,Tereza Cristina,UNIÃO|PP,Proposed future affiliation ceremony,2022-03-20,2022-03-01,2022-03-31,https://www.poder360.com.br/eleicoes/tereza-cristina-disputara-vaga-no-senado-pelo-pp/,,Poder360,2022-03-03,day,day,2026-09-10,Article body,Report announces she will join PP at a planned March 20 event.,future_plan,web_rendered_text_or_extract_reviewed;original_not_archived,March 4 local report says already joined; March 31 report says joined during March but formal event still to be scheduled.,Do not equate planned ceremony with effective registration. March transition bounded but exact day unresolved.,2015-01-01,2026-03-19,false
AFF-029,Tereza Cristina,PP,Reported already joined,2022-03-04,,,https://www.douranews.com.br/politica/bolsonaro-vem-receber-tereza/162779/,,Douranews,2022-03-04,day,day,2026-09-10,Article body,Report calls her already affiliated to PP while describing a future reception event.,reported_status,web_rendered_text_or_extract_reviewed;original_not_archived,Conflicts in event tense with March 3 future-affiliation report.,Seek dated affiliation form/certificate; retain conflict rather than use article counts.,2015-01-01,2026-03-19,false
AFF-030,Tereza Cristina,PP,March affiliation corroboration,2022-03,,,https://www.campograndenews.com.br/politica/tereza-cristina-oficializa-saida-de-ministerio-para-concorrer-ao-senado-por-ms,,Campo Grande News,2022-03-31,day,month,2026-09-10,Article body,Reports she joined PP during March and party event still had to be scheduled.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Distinguish registration from ceremonial event; does not resolve exact day.,2015-01-01,2026-03-19,false
AFF-031,Walter Braga Netto,PL,Private affiliation retrospectively confirmed,2022-03-28,,,https://exame.com/brasil/eleicoes-2022-braga-netto-se-filia-ao-pl-em-ato-secreto/,,Exame,2022-04-14,day,day,2026-09-10,Article body,Report says PL confirmed a private affiliation on March 28.,retrospective_report_of_party_confirmation,web_rendered_text_or_extract_reviewed;original_not_archived,,Later report supplies historical event date; no-party origin cannot be frozen over remaining Defense service.,2015-01-01,2026-03-19,false
AFF-032,Gilson Machado,PSC|PL,Signed PL affiliation,2022-03-30,,,https://www.correiobraziliense.com.br/politica/2022/03/4997151-ministro-do-turismo-deixa-psc-e-assina-carta-de-filiacao-ao-pl.html,,Correio Braziliense,2022-03-30,day,day,2026-09-10,Article body,Reports departure from PSC and PL signature that night.,direct_report_of_event,prior_audit_source_reused,,Keep documented event even if the chosen daily sampling convention does not display its brief overlap with officeholding. Verify end semantics separately.,2015-01-01,2026-03-19,false
AFF-033,Anielle Franco,PT,Joined PT,2024-04-02,,,https://www.cartacapital.com.br/politica/anielle-se-filia-ao-pt-e-lula-diz-que-a-ministra-nao-tem-pretensao-de-disputar-cargo-em-2024/,,CartaCapital,2024-04-02,day,day,2026-09-10,Article body,Evening report describes completed PT affiliation with Lula present.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,No party before April 2 under entry/persistence evidence; PT afterwards. Party set may stay unchanged through other PT ministers.,2015-01-01,2026-03-19,false
AFF-034,Celso Sabino,UNIÃO,Suspended from party activities,2025-10-08,,,https://uniaobrasil.org.br/2025/10/08/sabino-e-suspenso-e-diretorio-do-para-sofrera-intervencao/,,União Brasil,2025-10-08,day,day,2026-09-10,Article body,Party headline and operative discussion describe suspension of activities and ethics proceedings.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,One paragraph uses expulsion despite the announced suspension and pending ethics procedure.,Do not infer cancellation from this internally inconsistent release; November recommendation and December cancellation resolve sequence.,2015-01-01,2026-03-19,false
AFF-035,Celso Sabino,UNIÃO,"Ethics recommendation, final decision pending",2025-11-25,,,https://www.cnnbrasil.com.br/politica/conselho-de-etica-aprova-expulsao-de-sabino-executiva-ainda-vai-decidir/,,CNN Brasil,2025-11-25,day,day,2026-09-10,Article body,Reproduces party note: Ethics Council recommended expulsion but Executive still must decide.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,November recommendation is not final membership cancellation.,2015-01-01,2026-03-19,false
AFF-036,Celso Sabino,UNIÃO|UNAFFILIATED,Expulsion with membership cancellation,2025-12-08,,,https://agenciabrasil.ebc.com.br/politica/noticia/2025-12/uniao-brasil-decide-expulsar-ministro-celso-sabino-da-legenda,,Agência Brasil,2025-12-08,day,day,2026-09-10,Article body,Reports Executive decision that day explicitly cancelling affiliation; Sabino acknowledges expulsion.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,"Proposed end of União December 8, not party demand to quit government or earlier internal suspension; subsequent no-party state is continuity requiring contradiction search.",2015-01-01,2026-03-19,false
AFF-037,André Fufuca,PP,Removed from internal posts,2025-10-08,,,https://www.cnnbrasil.com.br/politica/pp-retira-andre-fufuca-da-executiva-e-do-comando-de-diretorio-do-partido/,,CNN Brasil,2025-10-08,day,day,2026-09-10,Article body,Party note removes him from Executive and state leadership/internal decision activity.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,These internal sanctions do not establish cancellation of formal PP membership. Do not remove PP solely because party leadership opposes his cabinet service.,2015-01-01,2026-03-19,false
AFF-038,Waldez Góes,PDT,Leave from party activities; no União enrollment established,2023-03-27,,,https://www1.folha.uol.com.br/poder/2023/03/partidos-de-centro-reclamam-de-espaco-em-ministerios-e-ja-indicam-menos-votos-a-lula.shtml,,Folha de S.Paulo,2023-03-27,day,day,2026-09-10,Article body,Report says he took leave from PDT and did not enroll in União despite nomination attributed to that party.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,Licença may refer to activities rather than cancellation; exact party instrument not inspected.,Do not replace PDT with sponsor União. Seek instrument to establish effect of leave on formal affiliation.,2015-01-01,2026-03-19,false
AFF-039,Daniela Carneiro,UNIÃO,Withdrawal request still pending,2023-06-12,,,https://www.poder360.com.br/justica/pge-tem-ate-dia-21-para-se-manifestar-sobre-desfiliacao-de-daniela/,,Poder360,2023-06-12,day,day,2026-09-10,Article body,Court proceedings on her request to leave União were still pending.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Request and husband’s Republicanos affiliation do not establish her effective party switch.,2015-01-01,2026-03-19,false
AFF-040,Daniela Carneiro,UNIÃO,Withdrawal request pending near service end,2023-07-06,,,https://www.correiobraziliense.com.br/politica/2023/07/5107056-daniela-carneiro-conta-as-horas-para-deixar-o-ministerio-do-turismo.html,,Correio Braziliense,2023-07-06,day,day,2026-09-10,Article body,Report distinguishes husband’s completed Republicanos switch from her pending TSE request.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Provisional União continuity supported into July; obtain judgment and membership record before treating entire remaining tenure as verified.,2015-01-01,2026-03-19,false
AFF-041,Marx Beltrão,PSD,New affiliation reported after office departure,2018-04-12,,,https://psd.org.br/noticias/alagoas-marx-beltrao-e-pre-candidato-a-senador-pelo-psd/,,PSD,2018-04-12,day,day,2026-09-10,Article body,Party story reports his new party status less than a week after leaving the ministry.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Does not determine whether actual registration preceded April 6 office departure; obtain effective date rather than backdate to a prior announced plan.,2015-01-01,2026-03-19,false
AFF-042,Marcelo Queiroga,Republicanos|UNAFFILIATED,Pre-entry departure despite lagging register,2021-01-05,,,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2021/03/20/novo-ministro-da-saude-teve-passagem-relampago-pelo-republicanos-do-centrao.htm,,UOL / Agência Estado,2021-03-20,day,day,2026-09-10,Article body,Prior audit reports party leader confirmation of January 5 withdrawal despite a stale electoral record.,direct_report_of_event,prior_audit_source_reused,,Recorded retrieval status and actual departure are different dates; preserve contradictory registry snapshot and documentary basis.,2015-01-01,2026-03-19,false
AFF-043,Marcelo Queiroga,PL,Post-service affiliation,2023-06-14,,,https://www.poder360.com.br/partidos-politicos/bolsonaro-vai-a-filiacao-de-marcelo-queiroga-ao-pl/,,Poder360,2023-06-14,day,day,2026-09-10,Article body,Completed ceremony report identifies Queiroga as now affiliated.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Event is inside release calendar but outside his qualifying service; no PL witness created for cabinet tenure.,2015-01-01,2026-03-19,false
AFF-044,DEM; PSL; União Brasil,DEM|PSL|UNIÃO,Merger approved with immediate effect,2022-02-08,,,https://www.tse.jus.br/comunicacao/noticias/2022/Fevereiro/tse-aprova-registro-do-partido-uniao-brasil,RPP 0600641-95.2021.6.00.0000,Tribunal Superior Eleitoral,2022-02-08,day,day,2026-09-10,Article body,TSE approved new União from DEM and PSL and ordered immediate effects; earlier October convention is a different event.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,DEM/PSL members who remain affiliated obtain successor organizational identity from February 8; no retroactive União.,2015-01-01,2026-03-19,false
AFF-045,PMDB; MDB,PMDB|MDB,Identity-preserving rename,2018-05-15,,,https://www.tse.jus.br/comunicacao/noticias/2018/Maio/aprovada-mudanca-do-nome-do-partido-do-movimento-democratico-brasileiro-pmdb,Pet 128 / 1286-49.1996.6.00.0000,Tribunal Superior Eleitoral,2018-05-15,day,day,2026-09-10,Article body,TSE approved removal of Partido from organization name.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Same party ID; alias dates do not create substantive composition boundaries.,2015-01-01,2026-03-19,false
AFF-046,PR; PL,PR|PL,Identity-preserving rename,2019-05-07,,,https://www.tse.jus.br/comunicacao/noticias/2019/Maio/aprovada-alteracao-do-nome-do-partido-da-republica-pr-para-partido-liberal-pl,RPP 305 / 29782-39.2006.6.00.0000,Tribunal Superior Eleitoral,2019-05-07,day,day,2026-09-10,Article body,Dated decision report says PR rename to PL approved that day.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,"Current TSE registry table gives 09/02/2019, inconsistent with contemporaneous May decision report.","Verify underlying judgment; provisionally prefer specific decision report with explicit event date, record conflict. Same identity either way.",2015-01-01,2026-03-19,false
AFF-047,PRB; Republicanos,PRB|Republicanos,Immediate rename authorization,2019-08-15,,,https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos/decisao-monocratica-tutela-provisoria-de-urgencia-de-15-de-agosto-de-2019-rpp-no-0025929-56-2005-6-00-0000/%40%40download/file/tse-mudanca-%20nome-PRB-Republicanos-decisao-de-15-08-2019.pdf,RPP 0025929-56.2005.6.00.0000,Tribunal Superior Eleitoral,2019-08-15,day,day,2026-09-10,Operative order,Monocratic urgency order authorizes immediate use of Republicanos name.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Keep one organization ID; record provisional authorization separately from final judgment if later found.,2015-01-01,2026-03-19,false
AFF-048,PTN; Podemos; PPS; Cidadania; PP; Progressistas,PTN|Podemos|PPS|Cidadania|PP,Registry rename dates,,,,https://www.tse.jus.br/partidos/partidos-registrados-no-tse,Pet 52 (658-94.1995); Pet 74 (1782-78.1996); Pet 104 (1104-63.1996),Tribunal Superior Eleitoral,,unknown,unknown,2026-09-10,Name-change table,"Registry lists PTN→Podemos 2017-05-16, PPS→Cidadania 2019-09-19, and PP name change 2018-09-11.",direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,One stable ID per identity-preserving rename; inspect acts before final registry release.,2015-01-01,2026-03-19,false
AFF-049,PRP; Patriota; PPL; PCdoB; PROS; Solidariedade,PRP|Patriota|PPL|PCdoB|PROS|Solidariedade,Registry incorporation dates,,,,https://www.tse.jus.br/partidos/partidos-registrados-no-tse,0601953-14.2018; 0601972-20.2018; 0601967-56.2022,Tribunal Superior Eleitoral,,unknown,unknown,2026-09-10,Incorporation table,"Registry lists PRP into Patriota 2019-03-28, PPL into PCdoB 2019-05-28, PROS into Solidariedade 2023-02-14.",direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,No personal switch invented; do not carry extinct-party history into a former member who had already left.,2015-01-01,2026-03-19,false
AFF-050,PHS; Podemos,PHS|Podemos,Incorporation approval,2019-09-19,,,https://www.tse.jus.br/comunicacao/noticias/2019/Setembro/plenario-aprova-incorporacao-do-phs-ao-podemos,Pet 0602013-84.2018.6.00.0000,Tribunal Superior Eleitoral,2019-09-19,day,day,2026-09-10,Article body,TSE approved incorporation of PHS into Podemos.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Dated organization event; electoral predecessor accounting is not a cabinet membership operation.,2015-01-01,2026-03-19,false
AFF-051,PSC; Podemos,PSC|Podemos,Incorporation approved at session end,2023-06-15,,,https://www.tse.jus.br/comunicacao/noticias/2023/Junho/tse-aprova-incorporacao-do-partido-social-cristao-pelo-podemos,PetCiv 0600013-38.2023.6.00.0000,Tribunal Superior Eleitoral,2023-06-16,day,day,2026-09-10,Article body,Report published June 16 identifies the approving virtual session as ending June 15.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Distinguish June 15 decision from June 16 news publication; confirm operative effect in judgment.,2015-01-01,2026-03-19,false
AFF-052,PTB; Patriota; PRD,PTB|Patriota|PRD,Merger registration,2023-11-09,,,https://www.tse.jus.br/partidos/partidos-registrados-no-tse/arquivos-1/tse-estatuto-do-partido-renovacao-democratica-prd/%40%40download/file/tse-sstatuto_PRD.pdf,RPP 0601913-90.2022.6.00.0000,Tribunal Superior Eleitoral,2023-11-09,day,day,2026-09-10,Registration certificate,Certificate records approval of PRD registration after merger of PTB and Patriota.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,New organization ID from documented event; no retroactive Patriota/PRD affiliation for Heleno without a supported personal history.,2015-01-01,2026-03-19,false
