office_inventory_id,office_id,government_reporting_scope,office_name,start_inclusive,end_exclusive,status_category,proposed_inclusion,evidence_ids,verification_status,prior_inventory,notes,coverage_start,coverage_end_exclusive,population_completeness
OFFINV-037,office-f037bbe2282c,dilma_2,Secretaria de Políticas para as Mulheres,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-038,office-e7711829b65d,dilma_2,Secretaria de Relações Institucionais,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-039,office-d75270e151ee,dilma_2,Secretaria-Geral da Presidência,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-040,office-ad59aaab6eed,temer,Advocacia-Geral da União,2016-05-12,2019-01-01,other_minister_of_state_office,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-041,office-d519ef0d41fd,temer,"Agricultura, Pecuária e Abastecimento",2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-042,office-fcbe1ab68a36,temer,Banco Central,2016-05-12,2019-01-01,other_minister_of_state_office,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-043,office-71c76d75c4d2,temer,Casa Civil,2016-05-12,2019-01-01,other_minister_of_state_office,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-044,office-1ccf43d57dbb,temer,Cidades,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-045,office-43d0049ca830,temer,"Ciência, Tecnologia, Inovações e Comunicações",2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-046,office-18bde5ff6dcc,temer,Cultura,2016-05-23,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-047,office-41a1b663d07e,temer,Defesa,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-048,office-0a92e8b4a9cb,temer,Desenvolvimento Social e Agrário,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-049,office-188e8a05fb82,temer,Direitos Humanos,2017-02-03,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-050,office-620915ae84d6,temer,Educação,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-051,office-ae36ff53d975,temer,Esporte,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-052,office-594ad44ada4d,temer,Fazenda e Previdência Social,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-053,office-3c3d69880fe2,temer,"Fiscalização, Transparência e Controladoria-Geral da União",2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-054,office-121c12a15312,temer,Gabinete de Segurança Institucional,2016-05-12,2019-01-01,other_minister_of_state_office,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-055,office-b83a3b7747e7,temer,Integração Nacional,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-056,office-04fbeec27487,temer,Justiça,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-057,office-2900b2e2ba0b,temer,Meio Ambiente,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-058,office-526dbdd3f57b,temer,Minas e Energia,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-059,office-937b30005ef7,temer,"Planejamento, Orçamento e Gestão",2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-060,office-cbf5e40472ce,temer,Relações Exteriores,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-061,office-521bac2c0068,temer,Saúde,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-062,office-884d91cad001,temer,Secretaria-Geral,2017-02-03,2019-01-01,other_minister_of_state_office,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-063,office-58ed92f001a0,temer,Segurança Pública,2018-02-27,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-064,office-a25fd08cc38a,temer,Trabalho,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-065,office-d606a573a7a6,temer,"Transportes, Portos e Aviação Civil",2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-066,office-b0b46607d55a,temer,Turismo,2016-05-12,2019-01-01,ordinary_ministry,include,OFF-012;OFF-013,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-067,office-ad59aaab6eed,bolsonaro,Advocacia-Geral da União,2019-01-01,2023-01-01,other_minister_of_state_office,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-068,office-71c76d75c4d2,bolsonaro,Casa Civil,2019-01-01,2023-01-01,other_minister_of_state_office,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-069,office-8504c8891abf,bolsonaro,Controladoria-Geral da União,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-070,office-121c12a15312,bolsonaro,Gabinete de Segurança Institucional,2019-01-01,2023-01-01,other_minister_of_state_office,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-071,office-f129e4c84ca3,bolsonaro,"Ministério da Agricultura, Pecuária e Abastecimento",2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-072,office-670ef51f36b6,bolsonaro,Ministério da Cidadania,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-073,office-00c8c7918dba,bolsonaro,"Ministério da Ciência, Tecnologia e Inovações",2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-074,office-a052e9465bd3,bolsonaro,Ministério da Defesa,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-075,office-8103cbe93d75,bolsonaro,Ministério da Economia,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-076,office-c4b9396bbbd3,bolsonaro,Ministério da Educação,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-077,office-0176f8b36e2c,bolsonaro,Ministério da Infraestrutura,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-078,office-72ba9ae08918,bolsonaro,Ministério da Justiça e Segurança Pública,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-079,office-5a0cb4c36ccc,bolsonaro,"Ministério da Mulher, da Família e dos Direitos Humanos",2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-080,office-7b54eb4b1d0d,bolsonaro,Ministério da Saúde,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-081,office-bb705e22ff95,bolsonaro,Ministério das Comunicações,2020-06-10,2023-01-01,ordinary_ministry,include,OFF-048,creation_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-082,office-e65cb51f0cda,bolsonaro,Ministério das Relações Exteriores,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-083,office-606cd4357d8f,bolsonaro,Ministério de Minas e Energia,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-084,office-609193b28e1f,bolsonaro,Ministério do Desenvolvimento Regional,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-085,office-0b0f7699e112,bolsonaro,Ministério do Meio Ambiente,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-086,office-92648a673b31,bolsonaro,Ministério do Turismo,2019-01-01,2023-01-01,ordinary_ministry,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-087,office-c145fe76abf9,bolsonaro,Secretaria de Governo,2019-01-01,2023-01-01,other_minister_of_state_office,include,OFF-019,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
