source_page_id,source_record_id,original_source_record_id,government_id,office,person,appointment_start,appointment_end,raw_party_field,previous_assignment,appointment_party,resolution_status,evidence_source,evidence_date,evidence_note,confidence,notes
lula_2023_presente,lula_2023_presente:2:12,lula_2023_presente:2:12,lula_3,"Desenvolvimento e Assistência Social, Família e Combate à Fome",Wellington Dias,2023-01-01,,PT / PI,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:11,lula_2023_presente:2:11,lula_3,"Desenvolvimento, Indústria, Comércio e Serviços",Geraldo Alckmin,2023-01-01,,PSB / SP,PSB,PSB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSB.,high,
lula_2023_presente,lula_2023_presente:2:13,lula_2023_presente:2:13,lula_3,Direitos Humanos e Cidadania,Silvio Almeida,2023-01-01,2024-09-06,Sem partido/ SP,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:16,lula_2023_presente:2:16,lula_3,Educação,Camilo Santana,2023-01-01,,PT / CE,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:18,lula_2023_presente:2:18,lula_3,Esporte,Ana Moser,2023-01-01,2023-09-06,Sem partido/ SC,,,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2022/12/governo-lula-tera-representacao-de-nove-legendas-e-11-ministros-sem-pa.html,2022-12-29,Incoming-cabinet roster places this appointment among explicitly unaffiliated ministers.,high,
lula_2023_presente,lula_2023_presente:2:20,lula_2023_presente:2:20,lula_3,Fazenda,Fernando Haddad,2023-01-01,2026-03-19,PT / SP,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:52,lula_2023_presente:2:52,lula_3,Gabinete de Segurança Institucional,Gonçalves Dias,2023-01-01,2023-04-19,Sem partido/ SP,,,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2022/12/governo-lula-tera-representacao-de-nove-legendas-e-11-ministros-sem-pa.html,2022-12-29,Incoming-cabinet roster places this appointment among explicitly unaffiliated ministers.,high,
lula_2023_presente,lula_2023_presente:2:22,lula_2023_presente:2:22,lula_3,Gestão e da Inovação em Serviços Públicos,Esther Dweck,2023-01-01,,Sem partido/ RJ,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:23,lula_2023_presente:2:23,lula_3,Igualdade Racial,Anielle Franco,2023-01-01,,PT / RJ,PT,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:24,lula_2023_presente:2:24,lula_3,Integração e Desenvolvimento Regional,Waldez Góes,2023-01-01,,PDT / AP,PDT,PDT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PDT.,high,
lula_2023_presente,lula_2023_presente:2:25,lula_2023_presente:2:25,lula_3,Justiça e Segurança Pública,Flávio Dino,2023-01-01,2024-02-01,PSB / MA,PSB,PSB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSB.,high,
lula_2023_presente,lula_2023_presente:2:29,lula_2023_presente:2:29,lula_3,Meio Ambiente e Mudança do Clima,Marina Silva,2023-01-01,,REDE / SP,REDE,REDE,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies REDE.,high,
lula_2023_presente,lula_2023_presente:2:30,lula_2023_presente:2:30,lula_3,Minas e Energia,Alexandre Silveira,2023-01-01,,PSD / MG,PSD,PSD,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSD.,high,
lula_2023_presente,lula_2023_presente:2:31,lula_2023_presente:2:31,lula_3,Mulheres,Cida Gonçalves,2023-01-01,2025-05-05,PT / MS,PT,PT,PARTY,https://www.diariodepernambuco.com.br/noticia/politica/2022/12/governo-lula-tera-representacao-de-nove-legendas-e-11-ministros-sem-pa.html,2022-12-29,Incoming-cabinet roster includes Cida Gonçalves in the PT list.,high,
lula_2023_presente,lula_2023_presente:2:33,lula_2023_presente:2:33,lula_3,Pesca e Aquicultura,André de Paula,2023-01-01,,PSD / PE,PSD,PSD,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSD.,high,
lula_2023_presente,lula_2023_presente:2:34,lula_2023_presente:2:34,lula_3,Planejamento e Orçamento,Simone Tebet,2023-01-01,,PSB / SP,PSB,MDB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies MDB.,high,
lula_2023_presente,lula_2023_presente:2:35,lula_2023_presente:2:35,lula_3,Portos e Aeroportos,Márcio França,2023-01-01,2023-09-06,PSB / SP,PSB,PSB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSB.,high,
lula_2023_presente,lula_2023_presente:2:37,lula_2023_presente:2:37,lula_3,Povos Indígenas,Sônia Guajajara,2023-01-01,,PSOL / SP,PSOL,PSOL,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSOL.,high,
lula_2023_presente,lula_2023_presente:2:38,lula_2023_presente:2:38,lula_3,Previdência Social,Carlos Lupi,2023-01-01,2025-05-02,PDT / RJ,PDT,PDT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PDT.,high,
lula_2023_presente,lula_2023_presente:2:40,lula_2023_presente:2:40,lula_3,Relações Exteriores,Mauro Vieira,2023-01-01,,Sem partido/ RJ,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:41,lula_2023_presente:2:41,lula_3,Saúde,Nísia Trindade,2023-01-01,2025-03-10,Sem partido/ RJ,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:58,lula_2023_presente:2:58,lula_3,Secretaria de Comunicação Social,Paulo Pimenta,2023-01-01,2025-01-08,PT / RS,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:62,lula_2023_presente:2:62,lula_3,Secretaria de Relações Institucionais,Alexandre Padilha,2023-01-01,2025-03-10,PT / SP,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:56,lula_2023_presente:2:56,lula_3,Secretaria-Geral da Presidência da República,Márcio Macêdo,2023-01-01,2025-10-29,PT / SE,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:43,lula_2023_presente:2:43,lula_3,Trabalho e Emprego,Luiz Marinho,2023-01-01,,PT / SP,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:44,lula_2023_presente:2:44,lula_3,Transportes,Renan Filho,2023-01-01,,MDB / AL,MDB,MDB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies MDB.,high,
lula_2023_presente,lula_2023_presente:2:45,lula_2023_presente:2:45,lula_3,Turismo,Daniela Carneiro,2023-01-01,2023-07-14,UNIÃO / RJ,UNIÃO,UNIÃO,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies UNIÃO.,high,
lula_2023_presente,lula_2023_presente:2:53,lula_2023_presente:2:53,lula_3,Gabinete de Segurança Institucional,Ricardo Cappelli,2023-04-19,2023-05-04,PSB / RJ,PSB,PSB,PARTY,https://noticias.uol.com.br/politica/ultimas-noticias/2023/04/19/ricardo-capelli-ministro-interino-gsi.amp.htm,2023-04-19,Appointment-day reporting explicitly identifies Cappelli as PSB.,high,
lula_2023_presente,lula_2023_presente:2:54,lula_2023_presente:2:54,lula_3,Gabinete de Segurança Institucional,Marcos Antonio Amaro dos Santos,2023-05-04,,Sem partido/ SP,,,UNRESOLVED,,,,low,Audit in progress: no party assignment inferred from pinned cabinet table.
lula_2023_presente,lula_2023_presente:2:46,lula_2023_presente:2:46,lula_3,Turismo,Celso Sabino,2023-08-03,2025-12-23,UNIÃO / PA,UNIÃO,UNIÃO,PARTY,https://www12.senado.leg.br/noticias/materias/2023/08/18/celso-sabino-apresenta-acoes-do-turismo-para-os-proximos-dois-anos,2023-08-18,Senate report identifies Sabino as União and expressly relates it to the appointment.,high,
lula_2023_presente,lula_2023_presente:2:17,lula_2023_presente:2:17,lula_3,"Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",Márcio França,2023-09-13,,PSB / SP,PSB,PSB,PARTY,https://www.bol.uol.com.br/noticias/2023/09/13/carla-posses-discretas-de-ministros-sinalizam-desconfianca-com-centrao.htm,2023-09-13,Appointment-day report identifies the new minister as PSB.,high,
lula_2023_presente,lula_2023_presente:2:19,lula_2023_presente:2:19,lula_3,Esporte,André Fufuca,2023-09-13,,PP / MA,PP,PP,PARTY,https://www.bol.uol.com.br/noticias/2023/09/13/carla-posses-discretas-de-ministros-sinalizam-desconfianca-com-centrao.htm,2023-09-13,Appointment-day report identifies the new minister as PP.,high,
lula_2023_presente,lula_2023_presente:2:36,lula_2023_presente:2:36,lula_3,Portos e Aeroportos,Sílvio Costa Filho,2023-09-13,,Republicanos / PE,Republicanos,Republicanos,PARTY,https://www.bol.uol.com.br/noticias/2023/09/13/carla-posses-discretas-de-ministros-sinalizam-desconfianca-com-centrao.htm,2023-09-13,Appointment-day report identifies the new minister as Republicanos.,high,
lula_2023_presente,lula_2023_presente:2:26,lula_2023_presente:2:26,lula_3,Justiça e Segurança Pública,Ricardo Lewandowski,2024-02-01,2026-01-09,Sem partido/ RJ,,,UNAFFILIATED,https://noticias.uol.com.br/politica/ultimas-noticias/2024/01/10/lula-dino-lewandowski-reuniao.amp.htm,2024-01-10,Contemporaneous appointment reporting explicitly says Lewandowski has no party affiliation.,high,
lula_2023_presente,lula_2023_presente:2:61,lula_2023_presente:2:61,lula_3,Secretaria Extraordinária da Presidência da República para Apoio à Reconstrução do Rio Grande do Sul,Paulo Pimenta,2024-05-15,2024-09-10,PT / RS,PT,PT,PARTY,https://pt.org.br/lula-cria-secretaria-extraordinaria-para-apoio-a-reconstrucao-do-rs/,2024-05-16,PT contemporaneously records its minister Pimenta taking this new appointment; party continuity independently recorded in April 2024 CNN roster.,high,
lula_2023_presente,lula_2023_presente:2:59,lula_2023_presente:2:59,lula_3,Secretaria de Comunicação Social,Laércio Portela,2024-05-15,2024-09-10,Sem partido/ PE,,,UNRESOLVED,,,,low,Audit in progress: no party assignment inferred from pinned cabinet table.
lula_2023_presente,lula_2023_presente:2:14,lula_2023_presente:2:14,lula_3,Direitos Humanos e Cidadania,Esther Dweck,2024-09-06,2024-09-27,Sem partido/ RJ,,,UNRESOLVED,https://iclnoticias.com.br/esther-dweck-interinamente-direitos-humanos/ | https://www.cartacapital.com.br/politica/com-macae-nos-direitos-humanos-veja-a-divisao-da-esplanada-dos-ministerios-por-partidos/,2024-09-07 | 2024-09-09,Conflicting contemporaneous explicit evidence: ICL says affiliated PT on her interim appointment; CartaCapital two days later lists Esther Dweck as unaffiliated. No dated filiation or disaffiliation record establishes a clear temporal resolution.,low,January 2023 appointment is independently verified UNAFFILIATED. Do not extrapolate it to this new appointment; do not prefer PT merely because biography label agrees.
lula_2023_presente,lula_2023_presente:2:15,lula_2023_presente:2:15,lula_3,Direitos Humanos e Cidadania,Macaé Evaristo,2024-09-27,,PT / MG,PT,PT,PARTY,https://www.almg.gov.br/pronunciamentos/deputada-macae-evaristo/2024-09-10/49840,2024-09-10,Official legislative farewell statement identifies the departing deputy as PT when accepting this ministerial appointment.,high,
lula_2023_presente,lula_2023_presente:2:60,lula_2023_presente:2:60,lula_3,Secretaria de Comunicação Social,Sidônio Palmeira,2025-01-07,,Sem partido/ BA,,,UNAFFILIATED,https://www.correiobraziliense.com.br/politica/2025/01/7034820-analise-missao-de-sidonio-e-alavancar-a-lideranca-moral.html,2025-01-15,Account of his 14 January inauguration speech explicitly reports that he declared he has no party affiliation.,high,Pinned source start is announcement day 7 January; separate date audit corrects to 14 January effective appointment.
lula_2023_presente,lula_2023_presente:2:42,lula_2023_presente:2:42,lula_3,Saúde,Alexandre Padilha,2025-03-10,,PT / SP,PT,PT,PARTY,https://noticias.uol.com.br/politica/ultimas-noticias/2025/03/10/posse-padilha-gleisi-planalto-lula-ministerio.htm,2025-03-10,Appointment-day report explicitly identifies both Padilha and Hoffmann as PT.,high,
lula_2023_presente,lula_2023_presente:2:63,lula_2023_presente:2:63,lula_3,Secretaria de Relações Institucionais,Gleisi Hoffmann,2025-03-10,,PT / PR,PT,PT,PARTY,https://noticias.uol.com.br/politica/ultimas-noticias/2025/03/10/posse-padilha-gleisi-planalto-lula-ministerio.htm,2025-03-10,Appointment-day report explicitly identifies both Padilha and Hoffmann as PT.,high,
lula_2023_presente,lula_2023_presente:2:6,lula_2023_presente:2:6,lula_3,Comunicações,Sônia Faustino Mendes,2025-04-09,2025-04-24,Sem partido,,,UNRESOLVED,,,,low,Audit in progress: no party assignment inferred from pinned cabinet table.
lula_2023_presente,lula_2023_presente:2:7,lula_2023_presente:2:7,lula_3,Comunicações,Frederico Siqueira,2025-04-24,,Sem partido/ PE,,,UNAFFILIATED,https://atarde.com.br/politica/conheca-o-perfil-de-frederico-siqueira-novo-ministro-das-comunicacoes-1315545,2025-04-24,Appointment-day profile explicitly distinguishes nomination through the União quota from no party affiliation.,high,
lula_2023_presente,lula_2023_presente:2:39,lula_2023_presente:2:39,lula_3,Previdência Social,Wolney Queiroz,2025-05-02,,PDT / PE,PDT,PDT,PARTY,https://www.gov.br/previdencia/pt-br/composicao/ministro-e-secretarios,2026-09-10,Official biography explicitly records uninterrupted PDT membership from 1992 through the May 2025 appointment; retrieval date shown.,high,
lula_2023_presente,lula_2023_presente:2:32,lula_2023_presente:2:32,lula_3,Mulheres,Márcia Lopes,2025-05-05,,PT / PR,PT,PT,PARTY,https://www.estadaomatogrosso.com.br/brasil/lula-demite-cida-goncalves-e-escolhe-marcia-lopes-como-nova-ministra/113038,2025-05-05,Appointment report explicitly identifies Márcia Lopes as PT.,high,
lula_2023_presente,lula_2023_presente:2:57,lula_2023_presente:2:57,lula_3,Secretaria-Geral da Presidência da República,Guilherme Boulos,2025-10-29,,PSOL / SP,PSOL,PSOL,PARTY,https://agenciabrasil.ebc.com.br/politica/noticia/2025-10/cabeca-do-crime-organizado-nao-esta-no-barraco-da-favela-diz-boulos,2025-10-29,Official news agency appointment-day profile explicitly identifies Boulos as affiliated to PSOL.,high,
lula_2023_presente,lula_2023_presente:2:47,lula_2023_presente:2:47,lula_3,Turismo,Gustavo Feliciano,2025-12-23,,Sem partido/ PB,,,UNAFFILIATED,https://www1.folha.uol.com.br/poder/2025/12/lula-da-posse-a-novo-ministro-do-turismo-em-aceno-a-ala-do-centrao-e-com-presenca-de-motta.shtml,2025-12-23,"Appointment-day reporting explicitly says Feliciano is unaffiliated, despite nomination by União allies.",high,
lula_2023_presente,lula_2023_presente:2:27,lula_2023_presente:2:27,lula_3,Justiça e Segurança Pública,Manoel Carlos de Almeida Neto,2026-01-09,2026-01-13,Sem partido,,,UNRESOLVED,,,,low,Audit in progress: no party assignment inferred from pinned cabinet table.
lula_2023_presente,lula_2023_presente:2:28,lula_2023_presente:2:28,lula_3,Justiça e Segurança Pública,Wellington César Lima e Silva,2026-01-13,,Sem partido,,,UNRESOLVED,,,,low,Audit in progress: no party assignment inferred from pinned cabinet table.
lula_2023_presente,lula_2023_presente:2:21,lula_2023_presente:2:21,lula_3,Fazenda,Dario Durigan,2026-03-19,,Sem partido/ SP,,,UNRESOLVED,https://agenciabrasil.ebc.com.br/economia/noticia/2026-03/durigan-diz-ter-medidas-alternativas-se-icms-do-diesel-nao-avancar,2026-03-20,"Official contemporary reporting establishes actual appointment begins 20 March, after cutoff. No unaffiliated status inferred from raw Wikipedia label.",low,"EXCLUDED_AFTER_DATE_CORRECTION: appointment starts 2026-03-20, beyond frozen 2026-03-19 cutoff; retained in full original-source audit, not counted among unresolved included appointments."
lula_2023_presente,lula_2023_presente:2:58:appointment-2024-09-12,lula_2023_presente:2:58,lula_3,Secretaria de Comunicação Social,Paulo Pimenta,2024-09-12,2025-01-14,PT / RS,PT,PT,PARTY,https://digital.jornaldocomercio.com/jcomercio/2024/09/12/142157/issue12279.pdf | https://agenciagov.ebc.com.br/noticias/202409/secretaria-da-reconstrucao-rio-grande-sul-casa-civil,2024-09-12 | 2024-09-10,Appointment-day newspaper p17 explicitly identifies Pimenta as PT on return to Secom; official Casa Civil confirms the effective RS ministry expiration and return date. Fresh lookup for new appointment.,high,SOURCED_SPLIT: original_source_record_id identifies pinned row combining initial and return appointments. This record is the separately verified second spell.
